timestamp,num_users_reporting,num_RKI_cases,num_users_reporting_7d,num_RKI_cases_7d,sum_users_reporting,sum_RKI_cases
1611964800,1367,11192,-1,-1,232425,2216363
1612051200,457,5608,9393,80306,232882,2221971
1612137600,781,6114,9361,80008,233663,2228085
1612224000,1688,9705,9128,76511,235351,2237790
1612310400,1597,14211,8963,73173,236948,2252001
1612396800,1447,12908,-1,72059,238395,2264909
1612483200,1453,10485,8790,70223,239848,2275394
1612569600,1195,8616,8618,67647,241043,2284010
1612656000,321,4535,8482,66574,241364,2288545
1612742400,513,3379,8214,63839,241877,2291924
1612828800,1268,8072,7793,62206,243145,2299996
1612915200,1221,10237,7418,58232,244366,2310233
1613001600,1186,9860,7157,55184,245552,2320093
1613088000,1259,8354,6963,53053,246811,2328447
1613174400,1027,6114,6795,50551,247838,2334561
1613260800,278,4426,6752,50442,248116,2338987
1613347200,595,3856,6834,50919,248711,2342843
1613433600,1473,7556,7039,50403,250184,2350399
1613520000,1281,10207,7099,50373,251465,2360606
1613606400,1195,9113,7108,49626,252660,2369719
1613692800,1447,9164,7296,50436,254107,2378883
1613779200,1078,7676,7347,51998,255185,2386559
1613865600,357,4369,7426,51941,255542,2390928
1613952000,750,3883,7581,51968,256292,2394811
1614038400,1671,8007,7779,52419,257963,2402818
1614124800,1489,11869,7987,54081,259452,2414687
1614211200,1353,9997,8145,54965,260805,2424684
1614297600,1471,9762,8169,55563,262276,2434446
1614384000,1036,7890,8127,55777,263312,2442336
1614470400,411,4732,8181,56140,263723,2447068
1614556800,721,3943,8152,56200,264444,2451011
1614643200,1648,9019,8129,57212,266092,2460030
1614729600,1587,11912,8227,57255,267679,2471942
1614816000,1280,10580,8154,57838,268959,2482522
1614902400,1552,9557,8235,57633,270511,2492079
1614988800,1304,8103,8503,57846,271815,2500182
1615075200,513,5011,8605,58125,272328,2505193
1615161600,938,4252,8822,58434,273266,2509445
1615248000,2119,9146,9293,58561,275385,2518591
1615334400,2160,14356,9866,61005,277545,2532947
1615420800,2098,12834,10684,63259,279643,2545781
1615507200,2445,12674,11577,66376,282088,2558455
1615593600,1832,10790,12105,69063,283920,2569245
1615680000,654,6604,12246,70656,284574,2575849
1615766400,1301,5480,12609,71884,285875,2581329
1615852800,2983,13435,13473,76173,288858,2594764
1615939200,2970,17504,14283,79321,291828,2612268
1616025600,2766,17482,14950,83969,294594,2629750
1616112000,3073,16033,15579,87328,297667,2645783
