#timestamp, num_keys, num_users_submitted_keys, num_submitted_keys, sum_keys, sum_users_submitted_keys, sum_submitted_keys, num_invalid_profile_users, sum_invalid_profile_users
1592784000,0,0,0,0,0,0,0,0
1609030800,0,0,0,0,0,0,0,0
1609117200,26434,2043,26434,26434,2043,26434,0,0
1609203600,46050,3552,46050,72484,5595,72484,0,0
1609290000,48742,3761,48742,121226,9356,121226,0,0
1609376400,34609,2669,34609,155835,12025,155835,0,0
1609462800,17977,1392,17977,173812,13417,173812,0,0
1609549200,20046,1553,20046,193858,14970,193858,0,0
1609635600,19005,1471,19005,212863,16441,212863,0,0
1609722000,26879,2077,26879,239742,18518,239742,0,0
1609808400,46110,3557,46110,285852,22075,285852,0,0
1609894800,41808,3226,41808,327660,25301,327660,0,0
1609981200,35074,2712,35074,362734,28013,362734,0,0
1610067600,36044,2784,36044,398778,30797,398778,0,0
1610154000,28717,2221,28717,427495,33018,427495,0,0
1610240400,13850,1075,13850,441345,34093,441345,0,0
1610326800,17266,1338,17266,458611,35431,458611,0,0
1610413200,33045,2553,33045,491656,37984,491656,0,0
