#Timestamp,sum_cases,new_cases,sum_deceased,new_deceased
1592850802,191768,496,8899,4
1592937208,192480,712,8914,15
1593026814,192871,391,8928,14
1593110023,193371,500,8940,12
1593196415,194036,665,8965,25
1593282844,194458,422,8968,3
1593369224,194693,235,8968,0
1593455628,195042,349,8976,8
1593542032,195418,376,8990,14
1593628426,195893,475,8995,5
1593714834,196370,477,9006,11
1593801231,196780,410,9010,4
1593887626,197198,418,9020,10
1593974037,197523,325,9023,3
1594060440,198064,541,9022,-1
1594150428,198343,279,9032,10
1594233263,198699,356,9046,14
1594319664,199001,302,9057,11
1594406066,199332,331,9063,6
1594492470,199709,377,9070,7
1594579384,199919,210,9071,1
1594665286,200180,261,9074,3
1594751679,200456,276,9078,4
