#Timestamp,sum_cases,new_cases,sum_deceased,new_deceased
1583186400,214,214,0,0
1583272800,289,75,0,0
1583359200,437,148,2,2
1583445600,620,183,3,1
1583532000,796,176,5,2
1583618400,930,134,9,4
1583704800,1022,92,9,0
1583791200,1363,341,14,5
1583877600,1942,579,17,3
1583964000,2676,734,22,5
1584050400,3647,971,31,9
1584136800,5052,1405,43,12
1584223200,6336,1284,57,14
1584309600,7275,939,67,10
1584396000,9281,2006,92,25
1584482400,12293,3012,120,28
1584568800,15791,3498,159,39
1584655200,19753,3962,191,32
1584741600,23767,4014,271,80
1584828000,27016,3249,322,51
1584914400,29304,2288,370,48
1585000800,32943,3639,437,67
1585087200,37706,4763,512,75
1585173600,43278,5572,602,90
1585260000,49068,5790,714,112
1585346400,55091,6023,836,122
1585432800,59817,4726,932,96
1585519200,62892,3075,979,47
1585605600,67010,4118,1067,88
1585692000,72954,5944,1166,99
1585778400,79007,6053,1249,83
1585864800,85252,6245,1301,52
1585951200,90080,4828,1332,31
1586037600,91714,1634,1342,10
1586124000,95391,3677,1434,92
1586210400,99225,3834,1607,173
1586296800,103228,4003,1861,254
1586383200,108202,4974,2107,246
1586469600,113525,5323,2373,266
1586556000,117658,4133,2544,171
1586642400,120479,2821,2673,129
1586728800,123016,2537,2799,126
1586815200,125098,2082,2969,170
1586901600,127584,2486,3254,285
1586988000,130450,2866,3569,315
1587074400,133830,3380,3868,299
1587160800,137439,3609,4110,242
1587247200,139897,2458,4294,184
1587333600,141672,1775,4404,110
1587420000,143457,1785,4598,194
1587506400,145694,2237,4879,281
1587592800,148046,2352,5094,215
1587679200,150383,2337,5321,227
1587765600,152438,2055,5500,179
1587852000,154175,1737,5640,140
1587938400,155193,1018,5750,110
1588024800,156337,1144,5913,163
1588111200,157641,1304,6115,202
1588197600,159119,1478,6288,173
1588284000,160758,1639,6481,193
1588370400,161703,945,6575,94
1588456800,162496,793,6649,74
1588543200,163175,679,6692,43
1588629600,163860,685,6831,139
1588716000,164807,947,6996,165
1588802400,166091,1284,7119,123
1588888800,167300,1209,7266,147
1588975200,168551,1251,7369,103
1589061600,169218,667,7395,26
1589148000,169575,357,7417,22
1589234400,170508,933,7533,116
1589320800,171306,798,7634,101
1589407200,172239,933,7723,89
1589493600,173152,913,7824,101
1589580000,173772,620,7881,57
1589666400,174355,583,7914,33
1589752800,174697,342,7935,21
1589839200,175210,513,8007,72
1589925600,176007,797,8090,83
1590012000,176752,745,8147,57
1590098400,177212,460,8174,27
1590184800,177850,638,8216,42
1590271200,178281,431,8247,31
1590357600,178570,289,8257,10
1590444000,179002,432,8302,45
1590530400,179364,362,8349,47
1590616800,179717,353,8411,62
1590703200,180458,741,8450,39
1590789600,181196,738,8489,39
