"date","timestamp","downloads","downloads_android","download_apple","num_users_sharing_diagnosis_keys_official"
15.06.2020,1592179200,0,-1,-1,-1
17.06.2020,1592352000,6400000,-1,-1,-1
18.06.2020,1592438400,7900000,-1,-1,-1
19.06.2020,1592524800,9600000,-1,-1,-1
20.06.2020,1592611200,10600000,-1,-1,-1
21.06.2020,1592697600,11300000,-1,-1,-1
22.06.2020,1592784000,11800000,-1,-1,-1
23.06.2020,1592870400,12200000,-1,-1,-1
24.06.2020,1592956800,12600000,-1,-1,-1
25.06.2020,1593043200,13000000,-1,-1,-1
26.06.2020,1593129600,13300000,-1,-1,-1
29.06.2020,1593388800,14000000,-1,-1,-1
30.06.2020,1593475200,14100000,-1,-1,-1
01.07.2020,1593561600,14300000,-1,-1,-1
02.07.2020,1593648000,14400000,-1,-1,-1
03.07.2020,1593734400,14600000,-1,-1,-1
06.07.2020,1593993600,15000000,-1,-1,-1
08.07.2020,1594166400,15200000,-1,-1,-1
09.07.2020,1594252800,15400000,-1,-1,-1
13.07.2020,1594598400,15600000,-1,-1,-1
14.07.2020,1594684800,15700000,-1,-1,-1
15.07.2020,1594771200,15800000,-1,-1,-1
16.07.2020,1594857600,15800000,-1,-1,-1
17.07.2020,1594944000,15900000,-1,-1,-1
20.07.2020,1595203200,16100000,-1,-1,-1
23.07.2020,1595462400,16200000,-1,-1,-1
24.07.2020,1595548800,16200000,-1,-1,-1
27.07.2020,1595808000,16400000,8700000,7700000,-1
04.08.2020,1596499200,16600000,8800000,7800000,-1
11.08.2020,1597104000,16900000,9000000,7900000,-1
17.08.2020,1597622400,17200000,9200000,8000000,-1
25.08.2002,1598313600,17500000,9300000,8200000,-1
01.09.2020,1598918400,17800000,9500000,8300000,-1
08.09.2020,1599523200,18000000,9600000,8400000,-1
15.09.2020,1600128000,18200000,9700000,8500000,-1
22.09.2020,1600732800,-1,9800000,8600000,-1
23.09.2020,1600819200,18388000,-1,-1,5032
02.10.2020,1601596800,18795000,-1,-1,7120
09.10.2020,1602201600,19073000,-1,-1,9249
11.10.2020,1602374400,-1,-1,-1,10504
12.10.2020,1602460800,19300000,10400000,8900000,-1
16.10.2020,1602806400,19471000,-1,-1,12856
17.10.2020,1602892800,-1,-1,-1,18126
22.10.2020,1603324800,20300000,11000000,9300000,-1
28.10.2020,1603843200,-1,-1,-1,29666
29.10.2020,1603929600,21100000,11500000,9600000,-1
04.11.2020,1604448000,-1,-1,-1,44762
05.11.2020,1604534400,21900000,11900000,10000000,-1
11.11.2020,1605052800,-1,-1,-1,60199
12.11.2020,1605139200,22400000,12200000,10200000,-1
19.11.2020,1605744000,-1,-1,-1,74552
20.11.2020,1605830400,22800000,12400000,10400000,-1
25.11.2020,1606262400,-1,-1,-1,87637
26.11.2020,1606348800,23200000,12600000,10600000,-1
02.12.2020,1606867200,-1,-1,-1,100169
03.12.2020,1606953600,23500000,12800000,10700000,-1
09.12.2020,1607472000,-1,-1,-1,115426
10.12.2020,1607558400,23800000,13000000,10800000,-1
16.12.2020,1608076800,-1,-1,-1,133854
17.12.2020,1608163200,24200000,13200000,11000000,-1
06.01.2021,1609891200,-1,-1,-1,190835
07.01.2021,1609977600,24900000,13700000,11200000,-1
20.01.2021,1611100800,-1,-1,-1,217699
21.01.2021,1611187200,25200000,13900000,11300000,-1
27.01.2021,1611705600,-1,-1,-1,227985
28.01.2021,1611792000,25300000,13900000,11400000,-1
03.02.2021,1612310400,-1,-1,-1,236948
04.02.2021,1612396800,25400000,14000000,11400000,-1
09.02.2021,1612828800,-1,-1,-1,244366
10.02.2021,1612915200,25600000,14100000,11500000,-1
16.02.2021,1613433600,-1,-1,-1,251465
17.02.2021,1613520000,25700000,14100000,11600000,-1
23.02.2021,1614038400,-1,-1,-1,259452
24.02.2021,1614124800,25800000,14200000,11600000,-1
02.03.2021,1614729600,-1,-1,-1,267679
03.03.2021,1614816000,26000000,14300000,11700000,-1
11.03.2021,1615420800,-1,-1,-1,277545
12.03.2021,1615507200,26100000,14300000,11800000,-1
17.03.2021,1615939200,-1,-1,-1,291828
18.03.2021,1616025600,26200000,14400000,11800000,-1
24.03.2021,1616544000,-1,-1,-1,310360
25.03.2021,1616630400,26500000,14500000,12000000,-1
31.03.2021,1617148800,-1,-1,-1,332470
01.04.2021,1617235200,26700000,14600000,12100000,-1
07.04.2021,1617753600,-1,-1,-1,351074
08.04.2021,1617840000,26800000,14700000,12100000,-1
14.04.2021,1618358400,-1,-1,-1,376650
15.04.2021,1618444800,27000000,14800000,12200000,-1
21.04.2021,1618963200,-1,-1,-1,401781
22.04.2021,1619049600,27200000,14900000,12300000,-1
28.04.2021,1619568000,-1,-1,-1,424067
29.04.2021,1619654400,27400000,15000000,12400000,-1
05.05.2021,1620172800,-1,-1,-1,442650
06.05.2021,1620259200,27500000,15100000,12400000,-1
11.05.2021,1620691200,-1,-1,-1,454186
12.05.2021,1620777600,27700000,15200000,12500000,-1
19.05.2021,1621382400,-1,-1,-1,465683
20.05.2021,1621468800,27800000,15300000,12500000,-1
27.05.2021,1622073600,-1,-1,-1,471229
28.05.2021,1622160000,28000000,15400000,12600000,-1
01.06.2021,1622505600,-1,-1,-1,474786
02.06.2021,1622592000,28100000,15500000,12600000,-1
09.06.2021,1623196800,-1,-1,-1,477738
10.06.2021,1623283200,28300000,15600000,12700000,-1
16.06.2021,1623801600,-1,-1,-1,479176
17.06.2021,1623888000,28700000,15900000,12800000,-1
